"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"7",13,10,"ALBANY",1890,164555,94923,1874,0.008708335,1.07102,0.2264714,2.479521,0.09522044,NA,NA,NA,0.5768466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",13,10,"ALBANY",1900,165571,94151,2251,0.00940986,1.075111,0.1904379,2.61449,0.06391216,528,313.5814,0.9843313,0.5686443,0.006174227,NA,-0.008132908,0.201174,0.0007015258,0.004090165,-0.03603345,0.1349687,NA,NA,-0.03130828,-0.00820238
"147",13,10,"ALBANY",1910,173666,100253,NA,0.007335921,1.056728,0.1883616,2.497658,0.04167194,527,329.537,0.9509218,0.5772748,0.04889141,-0.001893939,0.06481078,NA,-0.00207394,-0.01838259,-0.002076371,-0.1168317,15.95556,-0.03340948,-0.02224021,0.008630501
"219",13,10,"ALBANY",1920,186106,113344,577,0.008645611,1.057602,0.1575554,1.960471,0.0253189,527,353.1423,0.641543,0.6090293,0.07163175,0,0.1305796,NA,0.00130969,0.0008741447,-0.0308062,-0.5371867,23.60531,-0.3093788,-0.01635304,0.03175449
"291",13,10,"ALBANY",1930,211953,127412,370,0.01349356,1.035856,0.1404085,1.293465,0.01408331,527,402.1879,0.8322128,0.6011333,0.1388832,0,0.1241177,-0.3587522,0.004847947,-0.02174585,-0.01714688,-0.6670061,49.04554,0.1906698,-0.01123559,-0.007895993
"363",13,10,"ALBANY",1940,221315,130577,306,0.01585523,1.041651,0.1131871,1.569705,0.008160314,531,416.7891,NA,0.5900052,0.04417017,0.007590133,0.02484067,-0.172973,0.002361671,0.005794986,-0.0272214,0.2762399,14.60122,NA,-0.005922996,-0.01112807
"435",13,10,"ALBANY",1950,239386,134995,NA,0.02625885,1.063939,0.08740695,NA,0.006972003,531,450.8211,NA,0.5639219,0.08165285,0,0.03383444,NA,0.01040362,0.02228801,-0.02578014,NA,34.03202,NA,-0.001188311,-0.02608333
"62",66,10,"BERNALILLO",1890,20913,0,9,0.184622,0.8396376,0.07684216,0.7036167,0.01123703,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",66,10,"BERNALILLO",1900,28630,0,119,0.1797066,0.8649036,0.08208173,0.778745,0.006566539,8842,3.237955,0.6768922,0,0.3690049,NA,NA,12.22222,-0.004915404,0.02526602,0.005239577,0.07512829,NA,NA,-0.004670491,0
"206",66,10,"BERNALILLO",1910,23606,0,NA,0.0645175,0.9588416,0.08010675,0.9588091,0.004448022,1214,19.44481,0.834914,0,-0.1754803,-0.8627007,NA,NA,-0.1151891,0.09393799,-0.00197498,0.1800641,16.20686,0.1580218,-0.002118517,0
"278",66,10,"BERNALILLO",1920,29855,0,57,0.0400268,0.9720589,0.06581812,0.846483,0.002210685,1214,24.59226,0.4596885,0,0.2647208,0,NA,NA,-0.0244907,0.01321733,-0.01428863,-0.1123261,5.147446,-0.3752256,-0.002237337,0
"350",66,10,"BERNALILLO",1930,45430,26570,47,0.06524323,1.020368,0.03237948,0.7589412,0.0009465111,1214,37.42175,0.6971825,0.5848558,0.5216882,0,Inf,-0.1754386,0.02521644,0.04830931,-0.03343864,-0.08754178,12.82949,0.237494,-0.001264174,0.5848558
"422",66,10,"BERNALILLO",1940,69391,35449,54,0.03617184,1.022707,0.03137294,0.7596846,0.0006773213,1163,59.66552,NA,0.5108588,0.5274268,-0.04200988,0.3341739,0.1489362,-0.02907139,0.002339169,-0.00100654,0.0007434088,22.24377,NA,-0.0002691898,-0.07399707
"494",66,10,"BERNALILLO",1950,145673,96815,NA,0.02856398,0.976594,0.02293493,NA,0.0005834987,1163,125.2562,NA,0.664605,1.099307,0,1.731107,NA,-0.007607862,-0.04611341,-0.008438015,NA,65.59071,NA,-9.382261e-05,0.1537462
"63",71,10,"ALAMEDA",1890,93864,48682,419,0.04586423,0.8791592,0.3296898,1.180103,0.0595649,NA,NA,NA,0.518644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",71,10,"ALAMEDA",1900,130197,66960,1166,0.03659839,0.9678219,0.2790003,1.151489,0.04059233,764,170.4149,0.9918805,0.5142976,0.3870813,NA,0.375457,1.782816,-0.009265844,0.08866274,-0.05068948,-0.02861326,NA,NA,-0.01897257,-0.004346431
"207",71,10,"ALAMEDA",1910,246131,190608,NA,0.04717407,0.9358748,0.242245,1.057305,0.02441383,732,336.2445,0.9538483,0.7744169,0.8904506,-0.04188482,1.846595,NA,0.01057568,-0.03194705,-0.0367553,-0.09418399,165.8296,-0.03803218,-0.0161785,0.2601193
"279",71,10,"ALAMEDA",1920,344177,301103,875,0.04778355,0.9708025,0.2101128,1.20003,0.0151579,732,470.1872,0.6547503,0.8748493,0.3983488,0,0.5796976,NA,0.0006094874,0.03492761,-0.03213216,0.1427245,133.9426,-0.299098,-0.00925593,0.1004324
"351",71,10,"ALAMEDA",1930,474883,401205,1116,0.05693824,1.007894,0.1733353,0.8907825,0.00758292,732,648.7473,0.8381096,0.8448502,0.3797639,0,0.332451,0.2754286,0.009154682,0.03709156,-0.03677749,-0.3092474,178.5601,0.1833593,-0.007574978,-0.02999907
"423",71,10,"ALAMEDA",1940,513011,423966,978,0.04457214,1.035354,0.1475758,1.14224,0.0053839,733,699.8786,NA,0.8264267,0.08028925,0.00136612,0.0567316,-0.1236559,-0.01236609,0.02746007,-0.02575954,0.2514578,51.13131,NA,-0.00219902,-0.01842348
"495",71,10,"ALAMEDA",1950,740315,590352,NA,0.1154698,1.033715,0.09323734,NA,0.003589013,733,1009.98,NA,0.7974335,0.4430782,0,0.3924513,NA,0.07089762,-0.001639009,-0.05433844,NA,310.101,NA,-0.001794887,-0.0289932
"1",1,30,"HARTFORD",1890,147180,53230,1218,0.01605517,1.01738,0.2612311,2.373744,0.1226389,NA,NA,NA,0.361666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1,30,"HARTFORD",1900,195480,105848,1946,0.01724985,0.9656702,0.2804839,2.425566,0.08719051,677,288.7445,0.9940468,0.5414774,0.3281696,NA,0.9885027,0.5977011,0.001194676,-0.05171018,0.01925279,0.05182293,NA,NA,-0.03544844,0.1798114
"145",1,30,"HARTFORD",1910,250182,142831,NA,0.01226707,0.9648161,0.3166015,2.488106,0.05816166,729,343.1852,0.9371901,0.5709084,0.2798343,0.07680945,0.3493972,NA,-0.004982777,-0.0008540468,0.03611758,0.0625391,54.44072,-0.05685668,-0.02902885,0.02943099
"217",1,30,"HARTFORD",1920,336027,197352,1002,0.01842114,0.9715613,0.2884828,1.990481,0.03578879,729,460.9424,0.5602734,0.5873099,0.3431302,0,0.3817169,NA,0.006154069,0.00674523,-0.02811874,-0.4976247,117.7572,-0.3769167,-0.02237287,0.01640157
"289",1,30,"HARTFORD",1930,421097,260651,674,0.02053446,1.015329,0.2535425,1.575056,0.02007613,729,577.6365,0.7777377,0.6189809,0.2531642,0,0.3207416,-0.3273453,0.002113322,0.04376791,-0.03494024,-0.4154248,116.6941,0.2174642,-0.01571266,0.03167095
"361",1,30,"HARTFORD",1940,450189,298895,671,0.02049584,1.020933,0.2006757,1.834595,0.01424513,741,607.5425,NA,0.6639323,0.06908622,0.01646091,0.1467249,-0.004451039,-3.862499e-05,0.005603314,-0.05286682,0.259539,29.90602,NA,-0.005831006,0.04495136
"433",1,30,"HARTFORD",1950,539661,287084,NA,0.03051545,1.041873,0.1575582,NA,0.01244485,740,729.2716,NA,0.531971,0.1987432,-0.001349528,-0.03951555,NA,0.01001962,0.02094079,-0.04311755,NA,121.7291,NA,-0.001800279,-0.1319613
"8",13,70,"BROOME",1890,62973,35005,823,0.01017897,1.028377,0.09319867,1.33625,0.0518635,NA,NA,NA,0.5558732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",13,70,"BROOME",1900,69149,39647,868,0.009211991,1.064026,0.0745347,1.437783,0.03476551,696,99.35201,0.9876791,0.5733561,0.09807378,NA,0.1326096,0.05467801,-0.0009669741,0.03564878,-0.01866397,0.1015332,NA,NA,-0.01709799,0.01748293
"152",13,70,"BROOME",1910,78809,48443,NA,0.009364413,1.043749,0.1111294,1.431479,0.02673553,705,111.7858,0.9743432,0.6146887,0.1396983,0.01293103,0.2218579,NA,0.0001524212,-0.02027716,0.03659474,-0.006304295,12.4338,-0.01333597,-0.008029981,0.04133259
"224",13,70,"BROOME",1920,113610,66800,316,0.006575125,1.004694,0.1285186,1.068228,0.01462899,705,161.1489,0.6331837,0.5879764,0.4415866,0,0.3789402,NA,-0.002789287,-0.03905519,0.01738918,-0.363251,49.36312,-0.3411595,-0.01210653,-0.02671227
"296",13,70,"BROOME",1930,147022,76662,217,0.005795051,1.01469,0.1198732,0.8770026,0.007196202,705,208.5418,0.7932146,0.5214322,0.2940938,0,0.1476347,-0.3132911,-0.0007800743,0.009996286,-0.0086454,-0.1912256,47.39291,0.1600309,-0.007432792,-0.06654424
"368",13,70,"BROOME",1940,165749,78309,207,0.004868808,1.024292,0.1008694,1.034183,0.003758695,710,233.4493,NA,0.4724553,0.1273755,0.007092199,0.02148392,-0.04608295,-0.0009262434,0.009601684,-0.01900383,0.1571803,24.90745,NA,-0.003437507,-0.04897683
"440",13,70,"BROOME",1950,184698,80674,NA,0.004867405,1.054528,0.08214491,NA,0.00301032,710,260.138,NA,0.4367887,0.1143235,0,0.03020087,NA,-1.402485e-06,0.03023682,-0.01872448,NA,26.68873,NA,-0.0007483758,-0.03566664
"2",3,90,"ESSEX",1890,299995,158594,4469,0.00582343,1.048055,0.2733346,1.795788,0.09872831,NA,NA,NA,0.5286555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",3,90,"ESSEX",1900,357030,230324,4250,0.006366412,1.057596,0.287875,1.873238,0.07699073,514,694.6109,0.9938557,0.6451111,0.1901198,NA,0.452287,-0.04900425,0.0005429814,0.009541332,0.01454041,0.07744945,NA,NA,-0.02173758,0.1164556
"172",3,90,"ESSEX",1910,436477,263040,NA,0.005384018,1.013242,0.3170545,2.034696,0.05451146,497,878.2233,0.9327178,0.6026434,0.2225219,-0.03307393,0.1420434,NA,-0.0009823938,-0.04435389,0.02917954,0.1614579,183.6124,-0.06113789,-0.02247927,-0.04246762
"244",3,90,"ESSEX",1920,482156,289831,1754,0.005037789,1.028363,0.2862269,1.733773,0.03909108,497,970.1328,0.5973876,0.6011146,0.1046539,0,0.1018514,NA,-0.0003462293,0.01512021,-0.03082764,-0.3009225,91.90946,-0.3353302,-0.01542038,-0.001528861
"316",3,90,"ESSEX",1930,498040,304537,1397,0.0044133,1.052537,0.2485704,1.20143,0.0256887,497,1002.093,0.804339,0.611471,0.03294369,0,0.05073991,-0.2035348,-0.0006244885,0.02417479,-0.03765647,-0.5323428,31.95976,0.2069514,-0.01340238,0.01035639
"388",3,90,"ESSEX",1940,496313,295948,1081,0.003852408,1.053298,0.1992553,1.521968,0.01902429,500,992.626,NA,0.5962931,-0.003467593,0.006036217,-0.02820347,-0.226199,-0.0005608925,0.0007608645,-0.04931509,0.3205373,-9.466555,NA,-0.006664415,-0.0151779
"460",3,90,"ESSEX",1950,522384,323485,NA,0.004312919,1.08534,0.1556403,NA,0.01335416,500,1044.768,NA,0.6192475,0.05252935,0,0.09304675,NA,0.0004605116,0.03204199,-0.04361501,NA,52.142,NA,-0.005670124,0.02295446
"9",13,110,"CAYUGA",1890,65302,25858,406,0.008897124,0.9966367,0.1472696,0.9343173,0.07100854,NA,NA,NA,0.3959756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",13,110,"CAYUGA",1900,66234,30345,615,0.01059879,0.9911018,0.1286197,1.029351,0.05219374,722,91.73684,0.9850619,0.4581484,0.01427215,NA,0.1735246,0.5147783,0.001701662,-0.005534944,-0.01864987,0.09503355,NA,NA,-0.01881481,0.06217276
"148",13,110,"CAYUGA",1910,67106,34668,NA,0.01004381,0.9705761,0.1489584,0.9967121,0.03439335,703,95.45661,0.9598868,0.5166155,0.01316544,-0.02631579,0.1424617,NA,-0.0005549748,-0.02052561,0.02033862,-0.03263875,3.719772,-0.0251751,-0.01780039,0.05846712
"220",13,110,"CAYUGA",1920,65221,36192,245,0.008938839,0.9839691,0.1454746,0.7286504,0.02178746,703,92.77525,0.6399626,0.5549133,-0.02808989,0,0.04395985,NA,-0.001104973,0.01339295,-0.003483747,-0.2680617,-2.681366,-0.3199242,-0.01260589,0.03829779
"292",13,110,"CAYUGA",1930,64751,36652,122,0.008663959,0.958472,0.1272104,0.5346953,0.01215425,703,92.10669,0.8204198,0.5660453,-0.007206268,0,0.01270999,-0.5020408,-0.0002748799,-0.02549713,-0.01826423,-0.1939551,-0.6685633,0.1804572,-0.009633209,0.01113202
"364",13,110,"CAYUGA",1940,65508,35753,75,0.01074678,0.945474,0.1022623,0.6913638,0.006930451,699,93.71674,NA,0.5457807,0.01169094,-0.0056899,-0.02452799,-0.3852459,0.00208282,-0.01299798,-0.02494807,0.1566685,1.610053,NA,-0.005223801,-0.02026464
"436",13,110,"CAYUGA",1950,70136,36722,NA,0.01475704,0.9884891,0.08005874,NA,0.003977986,699,100.3376,NA,0.5235828,0.07064786,0,0.02710262,NA,0.004010264,0.04301514,-0.02220358,NA,6.620887,NA,-0.002952466,-0.02219791
"60",61,130,"MARICOPA",1890,10986,0,25,0.02839978,0.718442,0.2719825,2.295019,0.01037684,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",61,130,"MARICOPA",1900,20457,0,81,0.1682554,0.8319155,0.1384367,1.25109,0.006208144,8816,2.32044,0.8466892,0,0.8620972,NA,NA,2.24,0.1398556,0.1134734,-0.1335458,-1.043929,NA,NA,-0.004168699,0
"204",61,130,"MARICOPA",1910,34488,0,NA,0.1128508,0.7913053,0.1459058,1.558235,0.005973092,8891,3.878979,0.8681699,0,0.6858777,0.00850726,NA,NA,-0.05540452,-0.04061021,0.007469101,0.307145,1.558539,0.02148076,-0.0002350518,0
"276",61,130,"MARICOPA",1920,89576,29053,162,0.05142002,0.8693211,0.2131709,1.583107,0.002601143,8891,10.07491,0.4993525,0.3243391,1.597309,0,Inf,NA,-0.06143082,0.07801589,0.06726512,0.02487221,6.195928,-0.3688174,-0.003371949,0.3243391
"348",61,130,"MARICOPA",1930,150970,48118,139,0.2827449,0.9090311,0.03172153,1.433909,0.001285024,8891,16.98009,0.7351129,0.3187256,0.6853845,0,0.6562145,-0.1419753,0.2313249,0.03970999,-0.1814494,-0.1491976,6.905185,0.2357604,-0.00131612,-0.005613534
"420",61,130,"MARICOPA",1940,186193,65414,152,0.0673065,0.9520974,0.06836455,1.418396,0.000961368,9231,20.1704,NA,0.3513236,0.2333113,0.03824092,0.3594497,0.09352518,-0.2154384,0.04306625,0.03664301,-0.01551322,3.190312,NA,-0.0003236555,0.03259805
"492",61,130,"MARICOPA",1950,331770,106818,NA,0.06385146,0.9968221,0.05470356,NA,0.000928354,9226,35.96033,NA,0.321964,0.7818608,-0.0005416531,0.6329532,NA,-0.003455041,0.04472475,-0.01366099,NA,15.78993,NA,-3.301406e-05,-0.02935962
"10",13,150,"CHEMUNG",1890,48265,30893,674,0.01707241,0.9782359,0.1289547,1.248703,0.05548534,NA,NA,NA,0.6400704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",13,150,"CHEMUNG",1900,54063,35672,466,0.01685071,0.987318,0.1185839,1.404573,0.04154412,394,137.2157,0.9819277,0.6598228,0.1201285,NA,0.1546952,-0.3086053,-0.0002217015,0.00908212,-0.01037085,0.1558695,NA,NA,-0.01394122,0.01975235
"150",13,150,"CHEMUNG",1910,54662,37176,NA,0.01121437,0.9978071,0.1125645,1.305484,0.02636201,407,134.3047,0.9707278,0.6801068,0.01107967,0.03299492,0.04216192,NA,-0.005636339,0.01048906,-0.006019387,-0.09908925,-2.911068,-0.01119986,-0.01518212,0.02028404
"222",13,150,"CHEMUNG",1920,65872,45393,177,0.009533641,0.9876886,0.08979536,0.9322905,0.01411829,407,161.8477,0.641775,0.6891092,0.2050785,0,0.2210297,NA,-0.001680731,-0.0101185,-0.02276913,-0.3731931,27.543,-0.3289529,-0.01224372,0.009002343
"294",13,150,"CHEMUNG",1930,74680,47397,115,0.01227906,0.9968982,0.07427691,0.7037915,0.007498661,407,183.4889,0.8213846,0.6346679,0.1337139,0,0.04414778,-0.3502825,0.002745416,0.009209636,-0.01551845,-0.228499,21.64128,0.1796096,-0.006619629,-0.05444126
"366",13,150,"CHEMUNG",1940,73718,45106,91,0.01630538,0.9894211,0.05814048,1.039247,0.004571475,412,178.9272,NA,0.6118723,-0.01288163,0.01228501,-0.04833639,-0.2086957,0.004026323,-0.007477099,-0.01613643,0.3354553,-4.561759,NA,-0.002927186,-0.02279565
"438",13,150,"CHEMUNG",1950,86827,49716,NA,0.0219517,1.035469,0.04354636,NA,0.00259136,412,210.7451,NA,0.5725869,0.1778263,0,0.1022037,NA,0.005646317,0.04604784,-0.01459412,NA,31.81796,NA,-0.001980115,-0.0392854
"3",3,170,"MIDDLESEX",1890,431167,187876,4725,0.008722838,1.091247,0.304803,1.829037,0.1283772,NA,NA,NA,0.4357384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",3,170,"MIDDLESEX",1900,565696,315749,4968,0.01380247,1.087994,0.3029189,1.949237,0.1016376,804,703.602,0.994069,0.5581602,0.3120114,NA,0.6806245,0.05142857,0.005079628,-0.003252983,-0.001884129,0.1202,NA,NA,-0.02673954,0.1224219
"169",3,170,"MIDDLESEX",1910,669915,433897,NA,0.01347484,1.083885,0.2975497,2.091232,0.07737549,832,805.1863,0.9608919,0.6476896,0.1842315,0.03482587,0.3741833,NA,-0.0003276225,-0.004108381,-0.005369193,0.1419951,101.5843,-0.03317708,-0.02426214,0.08952942
"241",3,170,"MIDDLESEX",1920,778352,520774,1787,0.0133166,1.084868,0.2638408,1.702833,0.05567789,832,935.5192,0.6069015,0.6690726,0.1618668,0,0.2002249,NA,-0.0001582467,0.0009822281,-0.03370891,-0.3883996,130.3329,-0.3539904,-0.02169759,0.02138297
"313",3,170,"MIDDLESEX",1930,934924,659489,1642,0.01133996,1.084855,0.245913,1.126446,0.03770574,832,1123.707,0.8001046,0.7053932,0.2011583,0,0.2663631,-0.08114158,-0.001976638,-1.278761e-05,-0.01792774,-0.5763867,188.1875,0.1932031,-0.01797216,0.03632056
"385",3,170,"MIDDLESEX",1940,971390,719855,1585,0.009886863,1.072984,0.1942299,1.422236,0.02731756,829,1171.761,NA,0.7410566,0.03900424,-0.003605769,0.09153451,-0.03471376,-0.001453096,-0.01187078,-0.05168312,0.2957899,48.05443,NA,-0.01038818,0.03566346
"457",3,170,"MIDDLESEX",1950,1064569,648408,NA,0.00994487,1.073482,0.1512509,NA,0.02005976,829,1284.16,NA,0.6090803,0.09592337,0,-0.09925193,NA,5.800655e-05,0.0004974733,-0.04297904,NA,112.3993,NA,-0.007257794,-0.1319763
"18",23,170,"BAY",1890,56412,27839,514,0.004910303,0.905682,0.3811778,1.134465,0.01820535,NA,NA,NA,0.4934943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",23,170,"BAY",1900,62378,27628,567,0.005178108,0.9711803,0.2899901,1.01838,0.01149444,437,142.7414,0.9441638,0.4429126,0.1057576,NA,-0.007579295,0.1031128,0.0002678049,0.06549823,-0.0911877,-0.1160854,NA,NA,-0.006710909,-0.05058173
"159",23,170,"BAY",1910,68238,45166,NA,0.004616196,0.9675336,0.2341511,0.7300585,0.007297986,443,154.0361,0.9409292,0.6618893,0.09394338,0.01372998,0.6347908,NA,-0.0005619114,-0.00364669,-0.055839,-0.2883215,11.2947,-0.003234584,-0.004196451,0.2189767
"231",23,170,"BAY",1920,69548,47554,132,0.003637775,0.9636343,0.181213,0.3974998,0.004112268,443,156.9932,0.5156726,0.683758,0.01919751,0,0.05287163,NA,-0.0009784209,-0.003899281,-0.05293808,-0.3325587,2.957111,-0.4252565,-0.003185719,0.02186871
"303",23,170,"BAY",1930,69474,47355,121,0.006146184,0.967879,0.13916,0.3602699,0.001612114,443,156.8262,0.7759881,0.6816219,-0.001064013,0,-0.004184716,-0.08333333,0.002508409,0.004244684,-0.042053,-0.03722983,-0.1670429,0.2603155,-0.002500154,-0.002136078
"375",23,170,"BAY",1940,74981,47956,99,0.003294168,0.9799055,0.0901295,0.4276743,0.001133621,446,168.1188,NA,0.6395754,0.07926706,0.006772009,0.01269137,-0.1818182,-0.002852016,0.01202647,-0.04903047,0.06740441,11.29265,NA,-0.0004784934,-0.04204654
"447",23,170,"BAY",1950,88461,52523,NA,0.004295678,1.02058,0.05413685,NA,0.0007800047,446,198.343,NA,0.5937419,0.1797789,0,0.09523313,NA,0.00100151,0.04067471,-0.03599265,NA,30.22422,NA,-0.0003536158,-0.04583348
"64",71,190,"FRESNO",1890,32026,0,72,0.1109099,0.5910378,0.251733,1.511502,0.01467558,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",71,190,"FRESNO",1900,37862,0,231,0.08694734,0.6894382,0.2412445,1.308628,0.01077598,6152,6.154421,0.9760395,0,0.1822269,NA,NA,2.208333,-0.02396255,0.09840042,-0.01048845,-0.2028737,NA,NA,-0.0038996,0
"208",71,190,"FRESNO",1910,75657,0,NA,0.05871235,0.7611853,0.2113089,1.286703,0.005287019,5950,12.71546,0.9511242,0,0.9982304,-0.03283485,NA,NA,-0.02823499,0.07174712,-0.02993559,-0.0219253,6.561041,-0.02491528,-0.005488957,0
"280",71,190,"FRESNO",1920,128779,45086,334,0.06479317,0.8167313,0.2086831,0.8050296,0.004146639,5950,21.64353,0.5664666,0.3501037,0.7021426,0,Inf,NA,0.006080826,0.05554598,-0.002625841,-0.4816734,8.928067,-0.3846576,-0.00114038,0.3501037
"352",71,190,"FRESNO",1930,144379,52513,200,0.1281488,0.904711,0.1467111,0.8130037,0.00153762,5950,24.26538,0.7699111,0.3637163,0.1211378,0,0.1647296,-0.4011976,0.06335566,0.08797969,-0.06197201,0.007974149,2.621849,0.2034446,-0.002609019,0.01361266
"424",71,190,"FRESNO",1940,178565,60685,259,0.0527035,0.9299108,0.1378546,0.8669554,0.000862431,5985,29.83542,NA,0.3398482,0.2367796,0.005882353,0.1556186,0.295,-0.07544533,0.02519982,-0.008856524,0.05395162,5.570044,NA,-0.0006751887,-0.0238681
"496",71,190,"FRESNO",1950,276515,91669,NA,0.06930908,0.9682044,0.08885956,NA,0.0006762743,5985,46.20134,NA,0.3315155,0.5485397,0,0.510571,NA,0.01660558,0.03829353,-0.04899501,NA,16.36591,NA,-0.0001861567,-0.008332765
"6",12,210,"MERCER",1890,79978,57458,1000,0.04408712,0.9673333,0.2062317,2.025506,0.05839106,NA,NA,NA,0.7184226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",12,210,"MERCER",1900,95365,73307,751,0.04452367,0.9699849,0.1987626,2.51523,0.0415771,226,421.969,0.9785523,0.7686992,0.1923904,NA,0.2758363,-0.249,0.0004365482,0.002651636,-0.007469065,0.4897244,NA,NA,-0.01681396,0.05027664
"146",12,210,"MERCER",1910,125657,96815,NA,0.04182019,0.9257188,0.2396126,2.047895,0.02432017,226,556.0044,0.9324604,0.7704704,0.3176427,0,0.3206788,NA,-0.002703479,-0.04426617,0.04084995,-0.4673353,134.0354,-0.04609186,-0.01725693,0.001771199
"218",12,210,"MERCER",1920,159881,119289,497,0.04433297,0.9654681,0.2246421,1.362927,0.01502367,226,707.4381,0.5586718,0.7461112,0.2723605,0,0.2321335,NA,0.00251278,0.03974932,-0.01497052,-0.6849682,151.4336,-0.3737887,-0.009296499,-0.02435924
"290",12,210,"MERCER",1930,187143,123356,346,0.06441064,0.9856021,0.1911907,0.7392764,0.008597703,226,828.0664,0.7878948,0.6591537,0.1705143,0,0.03409367,-0.3038229,0.02007767,0.02013405,-0.03345138,-0.6236506,120.6283,0.2292231,-0.00642597,-0.08695747
"362",12,210,"MERCER",1940,197318,124697,326,0.07064231,0.9965193,0.1537062,1.244378,0.005534214,228,865.4298,NA,0.6319596,0.05437019,0.008849558,0.01087098,-0.05780347,0.006231676,0.01091719,-0.03748449,0.5051012,37.36345,NA,-0.00306349,-0.02719412
"434",12,210,"MERCER",1950,229781,128009,NA,0.08976808,0.9953542,0.117377,NA,0.003951589,228,1007.811,NA,0.5570913,0.1645212,0,0.02656038,NA,0.01912577,-0.001165102,-0.03632922,NA,142.3816,NA,-0.001582625,-0.07486826
"4",3,230,"PLYMOUTH",1890,92700,27294,987,0.007119741,1.010802,0.1624164,1.001574,0.0698274,NA,NA,NA,0.2944337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",3,230,"PLYMOUTH",1900,113985,40063,1173,0.01081721,1.001914,0.1929552,1.136336,0.05530552,672,169.6205,0.9911485,0.3514761,0.2296117,NA,0.4678318,0.1884498,0.003697472,-0.008888006,0.03053882,0.1347616,NA,NA,-0.01452188,0.05704241
"170",3,230,"PLYMOUTH",1910,144337,56878,NA,0.01770163,0.9582536,0.2270658,1.289349,0.04341229,675,213.8326,0.9477404,0.3940639,0.2662807,0.004464286,0.419714,NA,0.006884416,-0.04366074,0.03411061,0.1530134,44.21206,-0.04340805,-0.01189323,0.04258782
"242",3,230,"PLYMOUTH",1920,156968,66254,453,0.01339764,0.9897829,0.219892,1.099046,0.03050303,675,232.5452,0.62012,0.422086,0.08751048,0,0.1648441,NA,-0.004303994,0.03152923,-0.007173873,-0.1903029,18.71259,-0.3276204,-0.01290926,0.02802214
"314",3,230,"PLYMOUTH",1930,162311,63797,405,0.02514309,1.006713,0.1904985,0.7354576,0.02026357,675,240.4607,0.8134754,0.3930541,0.03403878,0,-0.03708455,-0.1059603,0.01174545,0.01693046,-0.02939347,-0.3635887,7.915556,0.1933553,-0.01023946,-0.02903196
"386",3,230,"PLYMOUTH",1940,168824,62343,364,0.02346823,0.9975153,0.1597581,0.9460786,0.01329195,664,254.253,NA,0.3692781,0.04012667,-0.0162963,-0.02279104,-0.1012346,-0.001674862,-0.009198025,-0.0307404,0.2106211,13.79227,NA,-0.006971619,-0.02377601
"458",3,230,"PLYMOUTH",1950,189468,62860,NA,0.01539046,1.041923,0.1186849,NA,0.009273334,664,285.3434,NA,0.3317711,0.1222812,0,0.008292832,NA,-0.008077766,0.04440778,-0.04107314,NA,31.09036,NA,-0.004018615,-0.037507
"22",24,230,"CLARK",1890,52277,31895,416,0.08885361,0.9832695,0.08835626,1.566787,0.03404939,NA,NA,NA,0.6101153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",24,230,"CLARK",1900,58939,38253,391,0.08900728,0.9657473,0.06650944,1.555423,0.02209064,403,146.2506,0.9770501,0.649027,0.1274365,NA,0.1993416,-0.06009615,0.000153672,-0.01752221,-0.02184681,-0.01136388,NA,NA,-0.01195875,0.03891161
"165",24,230,"CLARK",1910,66435,46921,NA,0.08423271,0.9623394,0.0541281,1.394258,0.01396854,407,163.231,0.9731833,0.7062693,0.1271823,0.009925558,0.2265966,NA,-0.00477457,-0.003407868,-0.01238135,-0.1611654,16.98034,-0.003866788,-0.008122095,0.05724233
