"","icpsr.state.code","icpsr.county.code","name","year","totpop","urb25","mfgestab","nonwhitepct","fmratio","forbornpct","rentownratio","irishbornpct","area","popdens","litvappct","urb25pct","dtotpop","darea","durb25","dmfgestab","dnonwhitepct","dfmratio","dforbornpct","drentownratio","dpopdens","dlitvappct","dirishbornpct","durb25pct"
"168",24,950,"LUCAS",1910,192728,168497,NA,0.01022685,0.979052,0.1798753,1.229026,0.01064713,342,563.5322,0.9651535,0.8742736,0.2550746,0,0.2782161,NA,-0.001521079,-0.01095642,-0.01955297,-0.06805516,114.5292,-0.01310218,-0.007684587,0.0158283
"240",24,950,"LUCAS",1920,275721,243164,714,0.02243572,0.9342055,0.1493212,0.9406807,0.005748565,342,806.2018,0.6205476,0.8819205,0.4306224,0,0.4431355,NA,0.01220887,-0.04484646,-0.03055403,-0.2883453,242.6696,-0.344606,-0.004898565,0.007646904
"312",24,950,"LUCAS",1930,347709,290718,625,0.04129027,0.962894,0.1069573,0.8715592,0.002893224,342,1016.693,0.8096282,0.8360957,0.26109,0,0.1955635,-0.1246499,0.01885455,0.02868842,-0.04236398,-0.0691215,210.4912,0.1890806,-0.002855341,-0.04582479
"384",24,950,"LUCAS",1940,344333,282349,499,0.04400682,1.006205,0.08077646,0.9934643,0.001913845,343,1003.886,NA,0.8199882,-0.009709268,0.002923977,-0.02878735,-0.2016,0.002716545,0.0433111,-0.0261808,0.1219051,-12.80669,NA,-0.0009793789,-0.01610749
"456",24,950,"LUCAS",1950,395551,303616,NA,0.06798365,1.021779,0.05844,NA,0.001435972,343,1153.21,NA,0.7675774,0.1487455,0,0.07532168,NA,0.02397683,0.01557418,-0.02233646,NA,149.3236,NA,-0.0004778734,-0.05241083
"34",34,950,"JACKSON",1890,160510,132716,1613,0.09462339,0.873694,0.138901,2.933792,0.0307769,NA,NA,NA,0.8268394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",34,950,"JACKSON",1900,195193,163752,1913,0.0980568,0.9686636,0.1027342,2.848288,0.01897609,607,321.57,0.9895026,0.8389235,0.21608,NA,0.2338527,0.1859888,0.003433407,0.0949696,-0.03616679,-0.08550337,NA,NA,-0.01180081,0.01208408
"178",34,950,"JACKSON",1910,283522,248381,NA,0.08845874,0.9575652,0.09586205,1.641743,0.01206608,610,464.7902,0.9740552,0.8760555,0.4525214,0.004942339,0.516812,NA,-0.009598051,-0.01109843,-0.006872167,-1.206546,143.2201,-0.01544734,-0.006910007,0.03713195
"250",34,950,"JACKSON",1920,367846,324410,1052,0.08714788,0.9916403,0.07974805,1.641312,0.007350902,610,603.0262,0.6681682,0.881918,0.2974161,0,0.3060983,NA,-0.001310861,0.03407506,-0.016114,-0.000430914,138.2361,-0.305887,-0.004715181,0.005862503
"322",34,950,"JACKSON",1930,470454,399746,947,0.09290388,1.037065,0.05637321,1.320684,0.003717685,610,771.2361,0.8408388,0.8497026,0.2789428,0,0.2322247,-0.09980989,0.005755993,0.04542451,-0.02337484,-0.3206283,168.2098,0.1726706,-0.003633217,-0.03221535
