city,state,icpsr.state.code,year,icpsr_ctname,icpsr.county.code,haspr,ineffect,adoptyear,govyear,census.year,diss.case,confederacy,trounstine.dominance,debt1913oradopt,netdebtadopt,sinking1913oradopt,by.ordinance,prior.control,prior.lower.size,to.lower.size,from_form,to_form,dhomerule_st,dmerit,daustralian,ddirectprimary,Pop,Unempt_1,ManuPCt_1,RetlPCt_1,Fiscalt_1,NonWhiteRatiot_1,LnPopt_1,ChgPop,OwHoust_1,VtRept_1,YrCityAget_1,RegEast,RegMidWest,RegWest,YrFounded,YrCityAge,gui,ChgGovForm,White,Labor,Emp,Unemp,GovEmp,GovRev,GovExp,Manu,VlManu,Retl,SlRetl,Whol,SlWhol,Hous,OwHous,OcHous,OwOcu,VtRep,CYr25000,CYr10000,AdptYr25000,WhiteRatio,ChgWhite,NonWhite,NonWhiteRatio,Region,_Iyear_1935,_Iyear_1940,_Iyear_1945,_Iyear_1950,_Iyear_1955,_Iyear_1960,_Iyear_1965,_Iyear_1970,_Iyear_1975,_Iyear_1980,_Iyear_1985,_Iyear_1990,_Iyear_1995,_Iyear_2000,_Iyear_2005
Yonkers,NY,13,1940,WESTCHESTER,1190,1,1940,1938,1936,1930,1,0,0,35006002,,,,,,,,2,1923,1883,1895,1913,142598,0.1720099,0.9161605,13.71355,-0.01158213,0.02730447,11.83951,2.868232,27.78826,51.1,75,1,0,0,1860,80,2132,1,138441,63642,53176,0.1644512,2517,13673,12591,114,26373,1952,55232,116,32285,40764,23.24109,38516,9474,62.3,1890,1870,1890,97.08481,2.672857,4157,0.02915188,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilmington,NC,47,1945,NEW HANOVER,1290,0,1941,1941,1940,1940,1,1,0,2783500,,153399,,,,,,2,1917,1941,1909,1915,39225,0.1255662,1.347023,16.58335,0.4432367,0.4049151,10.41652,17.41551,28.94617,16,140,0,0,0,1800,145,8612,1,24398,20614,18248,0.08729949,266,1313,1479,48,NA,569,NA,97,NA,11107,41.02012,10685,4383,23,1910,1870,1911,51.3826,22.72636,14827,0.3779987,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge,MA,3,1945,MIDDLESEX,170,1,1942,1940,1940,1940,1,0,0,11765500,,2151084,,,,,,2,NA,1884,1888,1911,115809,0.1855204,3.26482,13.27573,-0.08132855,0.04531065,11.61619,4.446288,18.1779,52.4,150,1,0,0,1790,155,1405,1,110460,45005,40656,0.08950432,1630,8704,9513,365,NA,1339,NA,188,NA,31805,20.5911,30756,6333,52.8,1860,1850,1860,105.5629,4.35029,5349,0.04618812,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Houston,TX,49,1945,FORT BEND,1570,0,1943,1942,1940,1940,1,1,0,28327500,,4381419,,,,,,2,1912,1941,1892,1905,490338,0.1001042,1.531804,13.38833,-0.02926181,0.2251023,12.85974,27.52149,32.07913,19.4,90,0,0,0,1850,95,7119,1,384165,158240,149612,0.03757384,3409,11561,16650,684,NA,5328,NA,1053,NA,152503,44.02494,144191,63480,11.1,1890,1880,1905,109.6637,28.93217,106173,0.2165302,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Lowell,MA,3,1945,MIDDLESEX,170,1,1944,1942,1940,1940,1,0,0,4204850,,,,,,,,2,NA,1884,1888,1911,99319,0.2222119,2.012053,15.32711,-0.001524158,0.001351231,11.52672,-2.041642,28.87916,52.4,110,1,0,0,1830,115,1416,1,99153,40631,35669,0.106077,1388,7288,7392,209,NA,1342,NA,86,NA,26516,34.8669,25996,9064,52.8,1850,1840,1923,103.6266,-2.073045,166,0.001671382,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Trenton,NJ,12,1945,MERCER,210,0,,,,,,,,,,,,,,,,3,NA,1908,1911,1911,126353,0.1614134,2.044957,18.78153,0.007611549,0.07490156,11.73364,1.328019,39.15957,42.5,130,1,0,0,1810,135,2231,1,114386,57101,53619,0.06993148,1042,8202,8488,275,NA,2237,NA,200,NA,31550,50.1616,30940,15520,41.2,1880,1860,1911,92.14868,-0.8417348,11967,0.09471085,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cleveland,OH,24,1945,CUYAHOGA,350,0,,,,,,,0,,,,,,,,,2,1912,1913,1891,1908,896572,0.2014523,2.652743,15.72747,-0.02831463,0.09668168,13.68578,2.076199,32.22941,37.6,120,0,1,0,1820,125,3106,1,779555,402262,375865,0.08347361,10090,38476,38737,2571,NA,12539,NA,2509,NA,260419,38.19258,254120,97055,39.7,1860,1850,1924,87.9192,-1.747127,117017,0.130516,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
El Paso,TX,49,1945,EL PASO,1410,0,,,,,,1,,,,,,,,,,3,1912,1941,1892,1905,113647,0.1363832,1.198223,14.05847,-0.06464062,0.0256895,11.48051,17.3918,28.46688,23.3,60,0,0,0,1880,65,7113,1,110707,36968,34140,0.04435773,721,2153,1995,124,NA,1361,NA,274,NA,31077,37.93769,29530,11203,13.2,1910,1890,1923,110.0675,17.3701,2940,0.02586958,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Raleigh,NC,47,1950,WAKE,1830,0,1947,1947,1944,1940,1,1,0,4096000,,17452,,,,,,2,1917,1941,1909,1915,65679,0.03263398,0.9415861,11.61882,0.03054449,0.2999574,10.93824,16.68384,37.50468,18.1,145,0,0,0,1800,150,8610,1,47748,28138,27501,0.02263843,612,2747,2896,61,11875,689,82087,181,197871,16561,42.5,16166,6870,19.85833,1930,1890,1913,72.69904,21.17552,17931,0.2730096,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Hartford,CT,1,1950,HARTFORD,30,0,1948,1947,1946,1940,1,0,0,13996000,,1831382,,,,,,2,1951,1937,1909,1955,177397,0.08373293,2.065971,14.61893,-0.03811291,0.05796941,12.05427,3.238628,20.18901,42.5,155,1,0,0,1790,160,1503,1,164624,87450,81558,0.06737565,3491,18718,20397,378,162942,2409,263789,542,349835,52429,22.6,51404,11617,44.73656,1860,1850,1860,92.79977,1.700737,12773,0.07200234,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
